catalog,title,primary_team,secondary_team,role_in_program
research,Prediction Markets (Wolfers & Zitzewitz 2004),A,E,价格≈概率但受风险偏好/摩擦/合约设计影响的基础框架
research,Logarithmic Market Scoring Rules (Hanson 2002),A,E,理解 AMM vs CLOB 与流动性成本
research,A Utility Framework for Bounded-Loss Market Makers (2007),A,F,做市深度与最大风险权衡背景
research,Prediction Market Accuracy in the Long Run (2008),A,E,市场 prior 强度的长期证据
research,Forecasting Future World Events with Neural Networks (2022),G,,检索-概率-校准链路的早期路线
research,A Bayesian Approach to In-Game Win Probability in Soccer (2019),D3,E,足球 Game State 结构化 baseline
research,Stochastic Modelling of Football Matches (2023),D3,,time-varying hazard 与红牌/比分状态特征
research,A Market-Calibrated AFT Model for In-Play Football (2026),D3,E,市场 prior+结构+实时特征的最近邻架构
research,A Gamma Process Based In-Play Prediction Model for NBA (2020),D1,,NBA 连续得分过程 baseline
research,Real-Time NBA Predictions Combining Bookmaker Line (2020),D1,,市场 prior 融合的直接证据
research,The Poisson Model Limits in NBA (2016),D1,H,game phase/regime 分层的必要性
research,NBA Extreme Score Shifts and Comeback (2024),D1,,分差×剩余时间价值的经验基线
research,Modeling Basketball Play-by-Play Data (2016),D1,,possession-level Monte Carlo 方法参考
research,Random Forests Win Probability NFL (2014),D2,,NFL 经典 ML baseline + spread prior
research,nflWAR (2018),D2,C,nflfastR 生态的数据定义与复现流程
research,Going Deep: Continuous-Time Within-Play Valuation (2019),D2,,tracking+序列模型的远期路线（MVP 不做）
research,Exploring the Difficulty of Estimating Win Probability (2026),H,D1;D2;D3,game 内相关性→cluster bootstrap 强制要求
research,ML for Sports Betting: Accuracy or Calibration? (2023),H,D1;D2;D3;D4;D5,calibration-first 模型选择标准
research,Information and Efficiency: Goal Arrival (2014),E,,事件后快速充分反应的对照基线
research,Informational Efficiency In-Play Prediction Markets (2022),E,,salience×liquidity 决定反应速度的证据
research,When Do Markets Fully Process Public Information? (2026),E,H,X-04 直接复现对象（0.64 部分调整）
research,"Prices, Probabilities, and Parlays (2026)",E,H,time-to-expiry 与产品类型入校准模型
research,Arbitrage Analysis in Polymarket NBA Markets (2026),E,G,跨市场套利容量/持续时间/深度约束先验
research,Semantic Non-Fungibility and LOOP Violations (2026),A,G,relation taxonomy 与 X-10 的理论依据
research,When Certainty Is Not Worth It: Capital Lock-Up (2026),E,G,settlement discount 入持仓与套利模型
research,Decomposing Crowd Wisdom (2026),E,H,sport×venue×horizon×liquidity 分层校准要求
research,High-Frequency Trading in a Limit Order Book (2008),F,,maker 库存偏斜与 adverse selection 基准
research,The Queue-Reactive Model (2015),F,,第一版可解释 queue simulator 的方法来源
research,Fill Probabilities with State-Dependent Flows (2024),F,,可解释 fill probability baseline
research,Deep Attentive Survival Analysis in LOB (2023),F,,自有标签积累后的深度 execution 候选
research,KANFormer for Fill Probabilities (2025),F,,前沿；仅进 evidence table
research,The Negative Drift of a Limit Order Fill (2024),F,H,post-fill markout 强制上报的依据
research,Deep Learning Meets Queue-Reactive (2025),F,,生成式仿真远期参考
research,ABIDES (2019),F,B,event kernel/latency matrix/故障注入借鉴
research,Multi-Agent RL in LOB Simulation (2020),F,,远期 RL 参考；MVP 明确不做
research,Low-Latency Trading (2013),F,A,定义我们与传统 HFT 的差异
research,The HFT Arms Race / Frequent Batch Auctions (2015),F,A,信息处理优势 vs 时间优先制度优势
research,Unlocking the Forecasting Economy (2026),C,,identifier resolution 与链上恢复数据模型
research,Polymarket-v1 Database (2026),C,G,aggressor direction ground truth；v1 覆盖问题隔离
research,Anatomy of a Decentralized Prediction Market (2026),C,E,公开 feed 推断方向仅 59-61.5% 的 provenance 边界
research,Fill-Side Non-Retail Trading on Polymarket (2026),C,G,whale/copy 研究能回答什么的边界
research,PredictionMarketBench (2026),H,F,settlement-aware replay 与 episode schema
research,PolyBench (2026),G,E;C,timestamp-locked news+CLOB 的数据方法
research,Prediction Arena (2026),G,H,belief-to-trade gap 的实盘证据
research,PolySwarm (2026),G,,ensemble disagreement 作为 risk filter
research,Multi-Agent AI Oracle Systems (2026),A,G,resolution/evidence workflow 与 human escalation
research,ForecastBench (2025),G,H,news/LLM 层的独立概率评估
research,The Power of Simplicity in LLM Event Forecasting (2025),G,,受控 evidence pipeline 设计依据
research,LLM as a Risk Manager (2026),G,E,LLM=slow-path semantic risk 定位依据
research,ForecastBench-Sim (2026),G,,极端赛况压力测试远期参考
research,A Reality Check for Data Snooping (2000),H,,多重测试校正
research,The Probability of Backtest Overfitting (2016),H,,参数海选的正式验收指标
research,The Deflated Sharpe Ratio (2014),H,,短样本高偏度回测 Sharpe 修正
research,Pseudo-Mathematics and Financial Charlatanism (2014),H,G,审查社区 bot 收益声明的判断框架
implementation,Polymarket Market WebSocket,B,C,实时 market adapter 与自采 tick archive
implementation,Polymarket Sports WebSocket,B,D1;D2,backup/monitoring feed；官方警告不可作唯一依据
implementation,Polymarket Unified SDK / CLOB V2,B,,MVP 订单 gateway 封装；OMS 必须自建
implementation,Kalshi WebSocket Orderbook,B,C,Kalshi live book 重建与自采（含 seq）
implementation,Kalshi Historical Data API,C,B,市场元数据/结算/公共成交/自有订单历史
implementation,Kalshi FIX,B,,策略证实后的机构级 gateway（二阶段）
implementation,NautilusTrader,B,F,主引擎候选；X-09 后决策
implementation,hftbacktest,F,,execution simulator 与 queue 上下界；需补 pause/settlement 语义
implementation,ABIDES,F,,压力测试与故障注入；非第一版历史回放
implementation,LEAN,B,,仅借鉴职责拆分；不采用
implementation,flumine,B,,仅借鉴 sports strategy lifecycle；不采用
implementation,PredictionMarketBench,H,F,episode schema 与 settlement-aware replay 借鉴
implementation,PMXT,C,B;G,C=archive/历史；B=discovery/control plane；G=Router；hot path 禁用
implementation,Gnosis Prediction Market Agent Tooling,G,,benchmark/monitoring/市场抽象借鉴
implementation,ForecastBench,G,H,news/evidence agent 独立验证
implementation,PolyBench,G,E,数据快照与执行评估借鉴
implementation,Predict Raven,G,,evidence archive/硬风控/市场盲预测借鉴；收益自报不可信
implementation,nflfastR,D2,C,NFL 历史数据与 baseline 首选
implementation,StatsBomb Open Data,D3,C;I,足球 xG/事件原型；license 商用限制 I 初审
implementation,Metrica Sports Sample Data,D3,,tracking/event 对齐验证；样本过小不训练
implementation,nba_api,D1,C;I,NBA 历史原型与 live 原型；无交易级 SLA
implementation,Polymarket-Kalshi Weather Bot,G,I,ensemble→threshold 映射与 Brier tracking 借鉴
implementation,Polymarket Copy-Trading Bots,G,,leader-event ledger/idempotency/slippage gate 借鉴
implementation,PolyTerm,G,,operator console/alerts/调查流借鉴；whale score 非 alpha
implementation,PolyWorld,G,,可配置 dashboard/watchlist 借鉴
operational_evidence,O-001 Polymarket API/交易条款,I,B,compliance matrix 输入
operational_evidence,O-002 Polymarket 费用与延迟规则（venue_rule_snapshot 数据源）,I,B;F,X-07 的规则快照来源
operational_evidence,O-003 Kalshi API agreement 与交易规则,I,B,compliance matrix 输入
operational_evidence,O-004 StatsBomb open data LICENSE.pdf 商用条款,I,D3,license register；商用边界待人工审读
operational_evidence,O-005 nba_api / NBA.com ToS 使用边界,I,D1,license register
operational_evidence,O-006 PMXT Archive CC BY 4.0 署名义务,I,C,X-01 产出的署名合规
operational_evidence,O-007 Retrosheet notice.txt 署名义务与覆盖范围,I,D4,license register
operational_evidence,O-008 FastF1/Jolpica license 与运维单点风险,I,D5,license register
